Entity,Code,Year,Antimicrobial usage in livestock (mg per population corrected units)
Afghanistan,AFG,2020,67.548805
Albania,ALB,2020,98.16476
Algeria,DZA,2020,32.77327
Angola,AGO,2020,21.049955
Antigua and Barbuda,ATG,2020,416.20505
Argentina,ARG,2020,63.10585
Armenia,ARM,2020,83.974335
Australia,AUS,2020,165.06085
Austria,AUT,2020,17.489857
Azerbaijan,AZE,2020,94.63444
Bahamas,BHS,2020,49.14106
Bahrain,BHR,2020,87.99928
Bangladesh,BGD,2020,93.60142
Barbados,BRB,2020,65.5506
Belarus,BLR,2020,69.55221
Belgium,BEL,2020,40.137016
Belize,BLZ,2020,53.91637
Benin,BEN,2020,20.842548
Bhutan,BTN,2020,109.80575
Bolivia,BOL,2020,65.821785
Bosnia and Herzegovina,BIH,2020,68.368324
Botswana,BWA,2020,20.603456
Brazil,BRA,2020,56.255173
Brunei,BRN,2020,57.93007
Bulgaria,BGR,2020,74.94107
Burkina Faso,BFA,2020,22.77397
Burundi,BDI,2020,19.864538
Cambodia,KHM,2020,123.39872
Cameroon,CMR,2020,31.499397
Canada,CAN,2020,60.203117
Cape Verde,CPV,2020,48.2116
Central African Republic,CAF,2020,20.958248
Chad,TCD,2020,27.874949
Chile,CHL,2020,119.10854
China,CHN,2020,208.46768
Colombia,COL,2020,55.51907
Comoros,COM,2020,72.72638
Congo,COG,2020,19.53925
Cook Islands,COK,2020,26759.344
Costa Rica,CRI,2020,64.80021
Cote d'Ivoire,CIV,2020,17.894554
Croatia,HRV,2020,35.798412
Cuba,CUB,2020,70.6292
Cyprus,CYP,2020,234.67392
Czechia,CZE,2020,25.411886
Democratic Republic of Congo,COD,2020,20.781662
Denmark,DNK,2020,20.45157
Djibouti,DJI,2020,27.142885
Dominica,DMA,2020,139.12346
Dominican Republic,DOM,2020,49.512768
East Timor,TLS,2020,12.87329
Ecuador,ECU,2020,61.98479
Egypt,EGY,2020,14.747423
El Salvador,SLV,2020,45.828823
Equatorial Guinea,GNQ,2020,253.98073
Eritrea,ERI,2020,25.116394
Estonia,EST,2020,23.348366
Eswatini,SWZ,2020,19.692108
Ethiopia,ETH,2020,22.088852
Faroe Islands,FRO,2020,313.00916
Fiji,FJI,2020,77.76166
Finland,FIN,2020,7.416708
France,FRA,2020,22.00374
French Polynesia,PYF,2020,439.16574
Gabon,GAB,2020,30.534264
Gambia,GMB,2020,20.507132
Georgia,GEO,2020,82.61754
Germany,DEU,2020,36.395947
Ghana,GHA,2020,23.153818
Greece,GRC,2020,78.13855
Grenada,GRD,2020,220.3327
